07.12.18;19:20:36.915;CH1;-4,1729;@;19:20:33.850;CH2;-0,3791;@;19:20:36.408
07.12.18;19:20:39.918;CH1;-4,1729;@;19:20:38.779;CH2;-0,3791;@;19:20:39.655
07.12.18;19:20:42.929;CH1;-4,173;@;19:20:40.401;CH2;-0,3791;@;19:20:39.655
07.12.18;19:20:45.939;CH1;-4,1731;@;19:20:45.334;CH2;-0,3781;@;19:20:44.585
07.12.18;19:20:48.951;CH1;-4,1731;@;19:20:46.955;CH2;-0,3781;@;19:20:46.207
07.12.18;19:20:51.961;CH1;-4,1732;@;19:20:51.884;CH2;-0,3729;@;19:20:51.135
07.12.18;19:20:54.972;CH1;-3,9714;@;19:20:53.507;CH2;1,6473;@;19:20:52.759
07.12.18;19:20:57.984;CH1;-4,0282;@;19:20:55.129;CH2;1,3815;@;19:20:57.689
07.12.18;19:21:00.997;CH1;-4,1226;@;19:21:00.058;CH2;0,0227;@;19:21:00.932
07.12.18;19:21:04.006;CH1;-4,1227;@;19:21:03.303;CH2;0,0227;@;19:21:02.555
07.12.18;19:21:07.017;CH1;-4,1206;@;19:21:06.613;CH2;1,834;@;19:21:05.862
07.12.18;19:21:10.027;CH1;-3,9791;@;19:21:09.854;CH2;0,2912;@;19:21:09.109
07.12.18;19:21:13.038;CH1;-3,9618;@;19:21:11.480;CH2;0,2912;@;19:21:09.109
07.12.18;19:21:16.049;CH1;-3,9618;@;19:21:11.480;CH2;0,0306;@;19:21:15.663
07.12.18;19:21:19.058;CH1;-4,1198;@;19:21:18.030;CH2;0,024;@;19:21:17.280
07.12.18;19:21:22.069;CH1;-4,1198;@;19:21:19.652;CH2;0,024;@;19:21:17.280
07.12.18;19:21:25.082;CH1;-4,1209;@;19:21:24.582;CH2;0,021;@;19:21:23.834
07.12.18;19:21:28.092;CH1;-4,1672;@;19:21:27.826;CH2;0,024;@;19:21:25.458
07.12.18;19:21:31.102;CH1;-4,1672;@;19:21:27.826;CH2;-0,3945;@;19:21:30.387
07.12.18;19:21:34.116;CH1;-4,1685;@;19:21:32.774;CH2;-0,3977;@;19:21:33.645
07.12.18;19:21:37.126;CH1;-4,1082;@;19:21:36.019;CH2;0,8399;@;19:21:35.267
07.12.18;19:21:40.135;CH1;-3,9616;@;19:21:37.638;CH2;0,8399;@;19:21:35.267
07.12.18;19:21:43.148;CH1;-4,1198;@;19:21:42.571;CH2;0,0293;@;19:21:41.820
07.12.18;19:21:46.158;CH1;-4,1198;@;19:21:45.814;CH2;0,0238;@;19:21:43.453
07.12.18;19:21:49.171;CH1;-4,1669;@;19:21:49.121;CH2;0,0228;@;19:21:48.371
07.12.18;19:21:52.178;CH1;-4,1201;@;19:21:50.744;CH2;0,0282;@;19:21:51.633
